,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Marcus Allen,RAI,RB,25.0,16.0,16.0,1.0,2.0,16.0,0.0,380.0,1759.0,67.0,555.0,8.28,3.0,0.0,16.0,0.0,2.0,1759.0,11.0,380.0,555.0,3.0,377.03999999999996
1,Roger Craig,SFO,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,214.0,1050.0,92.0,1016.0,11.04,5.0,0.0,0.0,0.0,0.0,1050.0,9.0,214.0,1016.0,6.0,378.6
2,Joe Morris,NYG,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,294.0,1336.0,22.0,212.0,9.64,6.0,0.0,0.0,0.0,0.0,1336.0,21.0,294.0,212.0,0.0,290.8
3,Walter Payton,CHI,RB,31.0,16.0,16.0,3.0,5.0,96.0,0.0,324.0,1551.0,49.0,483.0,9.86,6.0,0.0,96.0,1.0,5.0,1551.0,9.0,324.0,483.0,2.0,314.24
4,Gerald Riggs,ATL,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,397.0,1719.0,33.0,267.0,8.09,0.0,0.0,0.0,0.0,0.0,1719.0,10.0,397.0,267.0,0.0,291.6
5,Tony Dorsett,DAL,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,305.0,1307.0,46.0,449.0,9.76,7.0,0.0,0.0,0.0,0.0,1307.0,7.0,305.0,449.0,3.0,267.6
6,Louis Lipps,PIT,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,16.0,59.0,1134.0,19.22,5.0,0.0,0.0,0.0,0.0,16.0,1.0,2.0,1134.0,12.0,242.0
7,Mike Quick,PHI,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,1247.0,17.08,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,11.0,261.7
8,Joe Montana,SFO,QB,29.0,15.0,15.0,303.0,494.0,3653.0,13.0,42.0,153.0,0.0,0.0,0.0,5.0,0.0,3653.0,27.0,494.0,153.0,3.0,42.0,0.0,0.0,251.42000000000002
9,James Brooks,CIN,RB,27.0,16.0,16.0,1.0,1.0,8.0,0.0,192.0,929.0,55.0,576.0,10.47,7.0,0.0,8.0,1.0,1.0,929.0,7.0,192.0,576.0,5.0,267.82000000000005
10,James Wilder,TAM,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,365.0,1300.0,53.0,341.0,6.43,9.0,0.0,0.0,0.0,0.0,1300.0,10.0,365.0,341.0,0.0,259.1
11,Wes Chandler,SDG,WR,29.0,15.0,13.0,0.0,0.0,0.0,0.0,1.0,9.0,67.0,1199.0,17.9,1.0,0.0,0.0,0.0,0.0,9.0,0.0,1.0,1199.0,10.0,245.8
12,Ken O'Brien,NYJ,QB,25.0,16.0,16.0,297.0,488.0,3888.0,8.0,25.0,58.0,0.0,0.0,0.0,14.0,0.0,3888.0,25.0,488.0,58.0,0.0,25.0,0.0,0.0,217.32000000000002
13,Drew Hill,HOU,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,1169.0,18.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1169.0,9.0,234.9
14,Stump Mitchell,STL,RB,26.0,16.0,8.0,1.0,2.0,31.0,0.0,183.0,1006.0,47.0,502.0,10.68,6.0,0.0,31.0,0.0,2.0,1006.0,7.0,183.0,502.0,3.0,247.03999999999996
15,Dan Marino,MIA,QB,24.0,16.0,16.0,336.0,567.0,4137.0,21.0,26.0,-24.0,0.0,0.0,0.0,9.0,0.0,4137.0,30.0,567.0,-24.0,0.0,26.0,0.0,0.0,223.08
16,Craig James,NWE,RB,24.0,16.0,14.0,2.0,2.0,16.0,0.0,263.0,1227.0,27.0,360.0,13.33,8.0,0.0,16.0,2.0,2.0,1227.0,5.0,263.0,360.0,2.0,220.34
17,Steve Largent,SEA,WR,31.0,16.0,16.0,0.0,1.0,0.0,0.0,0.0,0.0,79.0,1287.0,16.29,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1287.0,6.0,243.7
18,Eric Dickerson,RAM,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,292.0,1234.0,20.0,126.0,6.3,10.0,0.0,0.0,0.0,0.0,1234.0,12.0,292.0,126.0,0.0,208.0
19,Earnest Byner,CLE,RB,23.0,16.0,13.0,0.0,0.0,0.0,0.0,244.0,1002.0,45.0,460.0,10.22,5.0,0.0,0.0,0.0,0.0,1002.0,8.0,244.0,460.0,2.0,241.2
20,Freeman McNeil,NYJ,RB,26.0,14.0,13.0,0.0,0.0,0.0,0.0,294.0,1331.0,38.0,427.0,11.24,9.0,0.0,0.0,0.0,0.0,1331.0,3.0,294.0,427.0,2.0,225.8
21,Todd Christensen,RAI,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,987.0,12.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.0,6.0,216.7
22,Boomer Esiason,CIN,QB,24.0,15.0,14.0,251.0,431.0,3443.0,12.0,33.0,79.0,0.0,0.0,0.0,9.0,0.0,3443.0,27.0,431.0,79.0,1.0,33.0,0.0,0.0,217.62
23,Lionel James,SDG,RB,23.0,16.0,7.0,0.0,0.0,0.0,0.0,105.0,516.0,86.0,1027.0,11.94,9.0,0.0,0.0,0.0,0.0,516.0,2.0,105.0,1027.0,6.0,270.3
24,Mickey Shuler,NYJ,TE,29.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,879.0,11.57,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,879.0,7.0,203.9
25,Kevin Mack,CLE,RB,23.0,16.0,15.0,0.0,0.0,0.0,0.0,222.0,1104.0,29.0,297.0,10.24,4.0,0.0,0.0,0.0,0.0,1104.0,7.0,222.0,297.0,3.0,221.10000000000002
26,Greg Bell,BUF,RB,23.0,16.0,15.0,0.0,1.0,0.0,0.0,223.0,883.0,58.0,576.0,9.93,8.0,0.0,0.0,0.0,1.0,883.0,8.0,223.0,576.0,1.0,241.89999999999998
27,Dave Krieg,SEA,QB,27.0,16.0,16.0,285.0,532.0,3602.0,20.0,35.0,121.0,0.0,0.0,0.0,11.0,0.0,3602.0,27.0,532.0,121.0,1.0,35.0,0.0,0.0,208.18
28,Stephone Paige,KAN,WR,24.0,16.0,8.0,0.0,0.0,0.0,0.0,1.0,15.0,43.0,943.0,21.93,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,943.0,10.0,198.8
29,Eddie Brown,CIN,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,14.0,129.0,53.0,942.0,17.77,2.0,0.0,0.0,0.0,0.0,129.0,0.0,14.0,942.0,8.0,204.1
30,Tony Hill,DAL,WR,29.0,15.0,14.0,1.0,1.0,42.0,0.0,1.0,-6.0,74.0,1113.0,15.04,2.0,0.0,42.0,0.0,1.0,-6.0,0.0,1.0,1113.0,7.0,224.38000000000002
31,Curt Warner,SEA,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,291.0,1094.0,47.0,307.0,6.53,8.0,0.0,0.0,0.0,0.0,1094.0,8.0,291.0,307.0,1.0,225.10000000000002
32,John Elway,DEN,QB,25.0,16.0,16.0,327.0,605.0,3891.0,23.0,51.0,253.0,0.0,0.0,0.0,7.0,0.0,3891.0,22.0,605.0,253.0,0.0,51.0,0.0,0.0,208.94
33,Daryl Turner,SEA,WR,24.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,670.0,19.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,670.0,13.0,179.0
34,Jimmie Giles,TAM,TE,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,673.0,15.65,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,673.0,8.0,152.3
35,Doug Cosbie,DAL,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,793.0,12.39,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,6.0,175.3
36,Mike Renfro,DAL,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,955.0,15.92,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,955.0,8.0,197.5
37,Phil Simms,NYG,QB,30.0,16.0,16.0,275.0,495.0,3829.0,20.0,37.0,132.0,0.0,0.0,0.0,16.0,0.0,3829.0,22.0,495.0,132.0,0.0,37.0,0.0,0.0,182.35999999999999
38,Cris Collinsworth,CIN,WR,26.0,16.0,16.0,0.0,1.0,0.0,1.0,1.0,3.0,65.0,1125.0,17.31,1.0,0.0,0.0,0.0,1.0,3.0,0.0,1.0,1125.0,5.0,203.8
39,James Lofton,GNB,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,14.0,69.0,1153.0,16.71,3.0,0.0,0.0,0.0,0.0,14.0,0.0,4.0,1153.0,4.0,203.70000000000002
40,Dan Fouts,SDG,QB,34.0,14.0,12.0,254.0,430.0,3638.0,20.0,11.0,-1.0,0.0,0.0,0.0,13.0,0.0,3638.0,27.0,430.0,-1.0,0.0,11.0,0.0,0.0,187.42000000000002
41,Art Monk,WAS,WR,28.0,15.0,14.0,0.0,0.0,0.0,0.0,7.0,51.0,91.0,1226.0,13.47,2.0,0.0,0.0,0.0,0.0,51.0,0.0,7.0,1226.0,2.0,226.7
42,John Spagnola,PHI,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,772.0,12.06,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,772.0,5.0,169.2
43,Charlie Joiner,SDG,WR,38.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,59.0,932.0,15.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,932.0,7.0,192.2
44,James Jones,DET,RB,24.0,14.0,13.0,0.0,1.0,0.0,0.0,244.0,886.0,45.0,334.0,7.42,7.0,0.0,0.0,0.0,1.0,886.0,6.0,244.0,334.0,3.0,207.0
45,Paul Coffman,GNB,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,666.0,13.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,666.0,6.0,149.6
46,Dwight Clark,SFO,WR,28.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,705.0,13.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,705.0,10.0,184.5
47,Ozzie Newsome,CLE,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,711.0,11.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711.0,5.0,163.1
48,Anthony Carter,MIN,WR,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,821.0,19.09,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,821.0,8.0,171.1
49,Tony Nathan,MIA,RB,29.0,16.0,15.0,0.0,0.0,0.0,0.0,143.0,667.0,72.0,651.0,9.04,7.0,0.0,0.0,0.0,0.0,667.0,5.0,143.0,651.0,1.0,225.8
50,Mark Clayton,MIA,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,10.0,70.0,996.0,14.23,2.0,0.0,0.0,0.0,0.0,10.0,0.0,1.0,996.0,4.0,190.6
51,John Stallworth,PIT,WR,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,937.0,12.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937.0,5.0,198.7
52,Gary Clark,WAS,WR,23.0,16.0,10.0,0.0,0.0,0.0,0.0,2.0,10.0,72.0,926.0,12.86,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,926.0,5.0,195.6
53,Dokie Williams,RAI,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,925.0,19.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,925.0,5.0,170.5
54,Steve Watson,DEN,WR,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,915.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,915.0,5.0,182.5
55,Danny White,DAL,QB,33.0,14.0,14.0,267.0,450.0,3157.0,17.0,22.0,44.0,1.0,12.0,12.0,6.0,0.0,3157.0,21.0,450.0,44.0,1.0,22.0,12.0,1.0,182.88
