,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Eric Dickerson,RAM,RB,24.0,16.0,16.0,0.0,1.0,0.0,1.0,379.0,2105.0,21.0,139.0,6.62,14.0,0.0,0.0,0.0,1.0,2105.0,14.0,379.0,139.0,0.0,299.4
1,Dan Marino,MIA,QB,23.0,16.0,16.0,362.0,564.0,5084.0,17.0,28.0,-7.0,0.0,0.0,0.0,6.0,0.0,5084.0,48.0,564.0,-7.0,0.0,28.0,0.0,0.0,348.66
2,James Wilder,TAM,RB,26.0,16.0,16.0,1.0,1.0,16.0,0.0,407.0,1544.0,85.0,685.0,8.06,10.0,0.0,16.0,1.0,1.0,1544.0,13.0,407.0,685.0,0.0,370.53999999999996
3,Marcus Allen,RAI,RB,24.0,16.0,16.0,1.0,4.0,38.0,0.0,275.0,1168.0,64.0,758.0,11.84,8.0,0.0,38.0,0.0,4.0,1168.0,13.0,275.0,758.0,5.0,350.12
4,Walter Payton,CHI,RB,30.0,16.0,16.0,3.0,8.0,47.0,1.0,381.0,1684.0,45.0,368.0,8.18,5.0,0.0,47.0,2.0,8.0,1684.0,11.0,381.0,368.0,0.0,314.08
5,Mark Clayton,MIA,WR,23.0,15.0,15.0,0.0,1.0,0.0,1.0,3.0,35.0,73.0,1389.0,19.03,2.0,0.0,0.0,0.0,1.0,35.0,0.0,3.0,1389.0,18.0,317.4
6,Gerald Riggs,ATL,RB,24.0,15.0,14.0,0.0,0.0,0.0,0.0,353.0,1486.0,42.0,277.0,6.6,11.0,0.0,0.0,0.0,0.0,1486.0,13.0,353.0,277.0,0.0,274.3
7,Roy Green,STL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-10.0,78.0,1555.0,19.94,1.0,0.0,0.0,0.0,0.0,-10.0,0.0,1.0,1555.0,12.0,302.5
8,Neil Lomax,STL,QB,25.0,16.0,16.0,345.0,560.0,4614.0,16.0,35.0,184.0,0.0,0.0,0.0,11.0,0.0,4614.0,28.0,560.0,184.0,3.0,35.0,0.0,0.0,278.96
9,John Stallworth,PIT,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1395.0,17.44,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1395.0,11.0,283.5
10,Ottis Anderson,STL,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,289.0,1174.0,70.0,611.0,8.73,8.0,0.0,0.0,0.0,0.0,1174.0,6.0,289.0,611.0,2.0,280.5
11,Steve Largent,SEA,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,10.0,74.0,1164.0,15.73,1.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,1164.0,12.0,261.4
12,John Riggins,WAS,RB,35.0,14.0,14.0,0.0,0.0,0.0,0.0,327.0,1239.0,7.0,43.0,6.14,7.0,0.0,0.0,0.0,0.0,1239.0,14.0,327.0,43.0,0.0,205.20000000000002
13,James Lofton,GNB,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,10.0,82.0,62.0,1361.0,21.95,1.0,0.0,0.0,0.0,0.0,82.0,0.0,10.0,1361.0,7.0,246.29999999999998
14,Dave Krieg,SEA,QB,26.0,16.0,16.0,276.0,480.0,3671.0,24.0,46.0,186.0,0.0,0.0,0.0,11.0,0.0,3671.0,32.0,480.0,186.0,3.0,46.0,0.0,0.0,241.44000000000005
15,Joe Montana,SFO,QB,28.0,16.0,15.0,279.0,432.0,3630.0,10.0,39.0,118.0,0.0,0.0,0.0,4.0,0.0,3630.0,28.0,432.0,118.0,2.0,39.0,0.0,0.0,253.0
16,Tony Dorsett,DAL,RB,30.0,16.0,16.0,0.0,1.0,0.0,1.0,302.0,1189.0,51.0,459.0,9.0,12.0,0.0,0.0,0.0,1.0,1189.0,6.0,302.0,459.0,1.0,231.8
17,Art Monk,WAS,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,18.0,106.0,1372.0,12.94,1.0,0.0,0.0,0.0,0.0,18.0,0.0,2.0,1372.0,7.0,285.0
18,Wendell Tyler,SFO,RB,29.0,16.0,15.0,0.0,0.0,0.0,0.0,246.0,1262.0,28.0,230.0,8.21,13.0,0.0,0.0,0.0,0.0,1262.0,7.0,246.0,230.0,2.0,205.2
19,Mark Duper,MIA,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1306.0,18.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1306.0,8.0,249.6
20,Tony Eason,NWE,QB,25.0,16.0,13.0,259.0,431.0,3228.0,8.0,40.0,154.0,0.0,0.0,0.0,7.0,0.0,3228.0,23.0,431.0,154.0,5.0,40.0,0.0,0.0,236.52
21,Earnest Jackson,SDG,RB,25.0,16.0,14.0,0.0,0.0,0.0,0.0,296.0,1179.0,39.0,222.0,5.69,3.0,0.0,0.0,0.0,0.0,1179.0,8.0,296.0,222.0,1.0,227.10000000000002
22,Roger Craig,SFO,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,155.0,649.0,71.0,675.0,9.51,3.0,0.0,0.0,0.0,0.0,649.0,7.0,155.0,675.0,3.0,257.4
23,Todd Christensen,RAI,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,1007.0,12.59,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1007.0,7.0,220.7
24,Joe Theismann,WAS,QB,35.0,16.0,16.0,283.0,477.0,3391.0,13.0,62.0,314.0,0.0,0.0,0.0,7.0,0.0,3391.0,24.0,477.0,314.0,1.0,62.0,0.0,0.0,229.04
25,Greg Bell,BUF,RB,22.0,16.0,15.0,0.0,0.0,0.0,0.0,262.0,1100.0,34.0,277.0,8.15,5.0,0.0,0.0,0.0,0.0,1100.0,7.0,262.0,277.0,1.0,209.7
26,Steve Watson,DEN,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1170.0,16.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1170.0,7.0,228.0
27,Mike Quick,PHI,WR,25.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,-5.0,61.0,1052.0,17.25,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,1.0,1052.0,9.0,219.7
28,Sammy Winder,DEN,RB,25.0,16.0,15.0,0.0,0.0,0.0,0.0,296.0,1153.0,44.0,288.0,6.55,5.0,0.0,0.0,0.0,0.0,1153.0,4.0,296.0,288.0,2.0,214.1
29,Ozzie Newsome,CLE,TE,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,89.0,1001.0,11.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1001.0,5.0,219.1
30,Louis Lipps,PIT,WR,22.0,14.0,8.0,0.0,0.0,0.0,0.0,3.0,71.0,45.0,860.0,19.11,8.0,0.0,0.0,0.0,0.0,71.0,1.0,3.0,860.0,9.0,182.1
31,Phil Simms,NYG,QB,29.0,16.0,16.0,286.0,533.0,4044.0,18.0,42.0,162.0,1.0,13.0,13.0,8.0,0.0,4044.0,22.0,533.0,162.0,0.0,42.0,13.0,0.0,216.26
32,James Jones,DET,RB,23.0,16.0,16.0,3.0,5.0,62.0,0.0,137.0,532.0,77.0,662.0,8.6,6.0,0.0,62.0,1.0,5.0,532.0,3.0,137.0,662.0,5.0,238.88
33,Stacey Bailey,ATL,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1138.0,16.99,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1138.0,6.0,214.8
34,Freeman McNeil,NYJ,RB,25.0,12.0,12.0,0.0,0.0,0.0,0.0,229.0,1070.0,25.0,294.0,11.76,4.0,0.0,0.0,0.0,0.0,1070.0,5.0,229.0,294.0,1.0,189.4
35,Freddie Solomon,SFO,WR,31.0,14.0,13.0,0.0,0.0,0.0,0.0,6.0,72.0,40.0,737.0,18.43,0.0,0.0,0.0,0.0,0.0,72.0,1.0,6.0,737.0,10.0,186.89999999999998
36,Derrick Ramsey,NWE,TE,28.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,792.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,792.0,7.0,187.2
37,Mickey Shuler,NYJ,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,68.0,782.0,11.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782.0,6.0,180.2
38,Tim Smith,HOU,WR,27.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1141.0,16.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1141.0,4.0,207.1
39,Cris Collinsworth,CIN,WR,25.0,15.0,14.0,0.0,0.0,0.0,0.0,1.0,7.0,64.0,989.0,15.45,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,989.0,6.0,199.6
40,Paul Coffman,GNB,TE,28.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,43.0,562.0,13.07,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,562.0,9.0,151.2
41,Daryl Turner,SEA,WR,23.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,715.0,20.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,715.0,10.0,166.5
42,Carlos Carson,KAN,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-8.0,57.0,1078.0,18.91,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,1.0,1078.0,4.0,188.0
43,Gary Danielson,DET,QB,33.0,15.0,14.0,252.0,410.0,3076.0,15.0,41.0,218.0,1.0,22.0,22.0,7.0,0.0,3076.0,17.0,410.0,218.0,3.0,41.0,22.0,1.0,196.04000000000002
44,Kevin House,TAM,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,1005.0,13.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1005.0,5.0,206.5
45,Lynn Dickey,GNB,QB,35.0,15.0,15.0,237.0,401.0,3195.0,19.0,18.0,6.0,0.0,0.0,0.0,3.0,0.0,3195.0,25.0,401.0,6.0,3.0,18.0,0.0,0.0,202.4
46,Zeke Mowatt,NYG,TE,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,698.0,14.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,698.0,6.0,153.8
47,Doug Cosbie,DAL,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,789.0,13.15,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,789.0,4.0,160.9
48,Rob Carpenter,NYG,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,250.0,795.0,26.0,209.0,8.04,2.0,0.0,0.0,0.0,0.0,795.0,7.0,250.0,209.0,1.0,170.4
49,Dwight Clark,SFO,WR,27.0,16.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,52.0,880.0,16.92,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,880.0,6.0,176.0
50,Steve DeBerg,TAM,QB,30.0,16.0,13.0,308.0,509.0,3554.0,18.0,28.0,59.0,0.0,0.0,0.0,15.0,0.0,3554.0,19.0,509.0,59.0,2.0,28.0,0.0,0.0,170.06
51,Bobby Johnson,NYG,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,795.0,16.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,795.0,7.0,169.5
52,Stump Mitchell,STL,RB,25.0,16.0,1.0,1.0,1.0,20.0,0.0,81.0,434.0,26.0,318.0,12.23,6.0,0.0,20.0,0.0,1.0,434.0,9.0,81.0,318.0,2.0,156.0
53,Larry Moriarty,HOU,RB,26.0,14.0,9.0,1.0,1.0,16.0,0.0,189.0,785.0,31.0,206.0,6.65,5.0,0.0,16.0,0.0,1.0,785.0,6.0,189.0,206.0,1.0,162.74
54,Wilbert Montgomery,PHI,RB,30.0,16.0,15.0,0.0,2.0,0.0,0.0,201.0,789.0,60.0,501.0,8.35,5.0,0.0,0.0,0.0,2.0,789.0,2.0,201.0,501.0,0.0,191.0
55,Tony Hill,DAL,WR,28.0,11.0,11.0,0.0,0.0,0.0,0.0,1.0,7.0,58.0,864.0,14.9,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,864.0,5.0,175.1
56,Frank Pollard,PIT,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,213.0,851.0,21.0,186.0,8.86,9.0,0.0,0.0,0.0,0.0,851.0,6.0,213.0,186.0,0.0,142.7
57,Hoby Brenner,NOR,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,554.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.0,6.0,119.4
58,Charlie Joiner,SDG,WR,37.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,793.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,793.0,6.0,176.3
59,Henry Marshall,KAN,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,912.0,14.71,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,912.0,4.0,173.2
60,Larry Kinnebrew,CIN,RB,25.0,16.0,4.0,0.0,0.0,0.0,0.0,154.0,623.0,19.0,159.0,8.37,4.0,0.0,0.0,0.0,0.0,623.0,9.0,154.0,159.0,1.0,149.2
61,Doug Marsh,STL,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-5.0,39.0,608.0,15.59,0.0,0.0,0.0,0.0,0.0,-5.0,0.0,1.0,608.0,5.0,129.3
62,Hokie Gajan,NOR,RB,25.0,14.0,14.0,1.0,1.0,34.0,0.0,102.0,615.0,35.0,288.0,8.23,0.0,0.0,34.0,1.0,1.0,615.0,5.0,102.0,288.0,2.0,172.66
