,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,O.J. Simpson,BUF,RB,26.0,14.0,14.0,1.0,2.0,-3.0,0.0,332.0,2003.0,6.0,70.0,11.67,7.0,0.0,-3.0,0.0,2.0,2003.0,12.0,332.0,70.0,0.0,271.18
1,Harold Carmichael,PHI,WR,24.0,14.0,14.0,0.0,0.0,0.0,0.0,3.0,42.0,67.0,1116.0,16.66,3.0,0.0,0.0,0.0,0.0,42.0,0.0,3.0,1116.0,9.0,230.79999999999998
2,Harold Jackson,RAM,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,-8.0,40.0,874.0,21.85,0.0,0.0,0.0,0.0,0.0,-8.0,0.0,2.0,874.0,13.0,204.6
3,Floyd Little,DEN,RB,31.0,14.0,13.0,0.0,0.0,0.0,0.0,256.0,979.0,41.0,423.0,10.32,3.0,0.0,0.0,0.0,0.0,979.0,12.0,256.0,423.0,1.0,253.2
4,Larry Brown,WAS,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,273.0,860.0,40.0,482.0,12.05,7.0,0.0,0.0,0.0,0.0,860.0,8.0,273.0,482.0,6.0,244.2
5,John Gilliam,MIN,WR,28.0,14.0,14.0,0.0,0.0,0.0,0.0,5.0,71.0,42.0,907.0,21.6,1.0,0.0,0.0,0.0,0.0,71.0,1.0,5.0,907.0,8.0,191.79999999999998
6,Roman Gabriel,PHI,QB,33.0,14.0,14.0,270.0,460.0,3219.0,12.0,12.0,10.0,0.0,0.0,0.0,10.0,0.0,3219.0,23.0,460.0,10.0,1.0,12.0,0.0,0.0,183.76
7,Roger Staubach,DAL,QB,31.0,14.0,14.0,179.0,286.0,2428.0,15.0,46.0,250.0,0.0,0.0,0.0,5.0,0.0,2428.0,23.0,286.0,250.0,3.0,46.0,0.0,0.0,192.12
8,Isaac Curtis,CIN,WR,23.0,14.0,14.0,0.0,0.0,0.0,0.0,2.0,-11.0,45.0,843.0,18.73,0.0,0.0,0.0,0.0,0.0,-11.0,0.0,2.0,843.0,9.0,182.20000000000002
9,Charle Young,PHI,TE,22.0,14.0,14.0,0.0,0.0,0.0,0.0,4.0,24.0,55.0,854.0,15.53,0.0,0.0,0.0,0.0,0.0,24.0,1.0,4.0,854.0,6.0,184.8
10,Ron Shanklin,PIT,WR,25.0,13.0,13.0,0.0,0.0,0.0,0.0,3.0,1.0,30.0,711.0,23.7,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,711.0,10.0,159.2
11,Donny Anderson,STL,RB,30.0,14.0,13.0,0.0,0.0,0.0,0.0,167.0,679.0,41.0,409.0,9.98,7.0,0.0,0.0,0.0,0.0,679.0,10.0,167.0,409.0,3.0,213.8
12,Charley Taylor,WAS,WR,32.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,-7.0,59.0,801.0,13.58,1.0,0.0,0.0,0.0,0.0,-7.0,0.0,1.0,801.0,7.0,178.4
13,Paul Warfield,MIA,WR,31.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,15.0,29.0,514.0,17.72,1.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,514.0,11.0,145.9
14,Ron Johnson,NYG,RB,26.0,12.0,11.0,0.0,0.0,0.0,0.0,260.0,902.0,32.0,377.0,11.78,4.0,0.0,0.0,0.0,0.0,902.0,6.0,260.0,377.0,3.0,205.9
15,Boobie Clark,CIN,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,254.0,988.0,45.0,347.0,7.71,8.0,0.0,0.0,0.0,0.0,988.0,8.0,254.0,347.0,0.0,210.5
16,Jerome Barkum,NYJ,WR,23.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,44.0,810.0,18.41,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,810.0,6.0,161.2
17,Riley Odoms,DEN,TE,23.0,14.0,14.0,0.0,0.0,0.0,0.0,5.0,53.0,43.0,629.0,14.63,1.0,0.0,0.0,0.0,0.0,53.0,0.0,5.0,629.0,7.0,151.20000000000002
18,Calvin Hill,DAL,RB,26.0,14.0,14.0,0.0,1.0,0.0,0.0,273.0,1142.0,32.0,290.0,9.06,7.0,0.0,0.0,0.0,1.0,1142.0,6.0,273.0,290.0,0.0,197.2
19,Essex Johnson,CIN,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,195.0,997.0,28.0,356.0,12.71,7.0,0.0,0.0,0.0,0.0,997.0,4.0,195.0,356.0,3.0,191.3
