,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Terrell Davis,DEN,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,392.0,2008.0,38.0,25.0,217.0,8.68,2.0,2.0,0.0,0.0,0.0,2008.0,21.0,392.0,217.0,2.0,381.5
1,Jamal Anderson,ATL,RB,26.0,16.0,16.0,0.0,2.0,0.0,0.0,410.0,1846.0,46.0,27.0,319.0,11.81,5.0,2.0,0.0,0.0,2.0,1846.0,14.0,410.0,319.0,2.0,335.5
2,Steve Young,SFO,QB,37.0,15.0,15.0,322.0,517.0,4170.0,12.0,70.0,454.0,0.0,0.0,0.0,0.0,9.0,6.0,4170.0,36.0,517.0,454.0,6.0,70.0,0.0,0.0,356.2
3,Marshall Faulk,IND,RB,25.0,16.0,15.0,0.0,0.0,0.0,0.0,324.0,1319.0,106.0,86.0,908.0,10.56,3.0,2.0,0.0,0.0,0.0,1319.0,6.0,324.0,908.0,4.0,364.70000000000005
4,Garrison Hearst,SFO,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,310.0,1570.0,56.0,39.0,535.0,13.72,4.0,3.0,0.0,0.0,0.0,1570.0,7.0,310.0,535.0,2.0,297.5
5,Fred Taylor,JAX,RB,22.0,15.0,12.0,0.0,0.0,0.0,0.0,264.0,1223.0,53.0,44.0,421.0,9.57,3.0,2.0,0.0,0.0,0.0,1223.0,14.0,264.0,421.0,3.0,306.4
6,Randy Moss,MIN,WR,21.0,16.0,11.0,0.0,0.0,0.0,0.0,1.0,4.0,124.0,69.0,1313.0,19.03,2.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,1313.0,17.0,302.7
7,Emmitt Smith,DAL,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,319.0,1332.0,32.0,27.0,175.0,6.48,3.0,2.0,0.0,0.0,0.0,1332.0,13.0,319.0,175.0,2.0,263.7
8,Antonio Freeman,GNB,WR,26.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,5.0,153.0,84.0,1424.0,16.95,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1424.0,14.0,310.9
9,Ricky Watters,SEA,RB,29.0,16.0,16.0,1.0,1.0,1.0,0.0,319.0,1239.0,73.0,52.0,373.0,7.17,4.0,2.0,1.0,1.0,1.0,1239.0,9.0,319.0,373.0,0.0,267.24
10,Randall Cunningham,MIN,QB,35.0,15.0,14.0,259.0,425.0,3704.0,10.0,32.0,132.0,1.0,1.0,-3.0,-3.0,2.0,1.0,3704.0,34.0,425.0,132.0,1.0,32.0,-3.0,0.0,282.05999999999995
11,Curtis Martin,NYJ,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,369.0,1287.0,57.0,43.0,365.0,8.49,5.0,1.0,0.0,0.0,0.0,1287.0,8.0,369.0,365.0,1.0,260.2
12,Robert Edwards,NWE,RB,24.0,16.0,15.0,0.0,0.0,0.0,0.0,291.0,1115.0,52.0,35.0,331.0,9.46,5.0,1.0,0.0,0.0,0.0,1115.0,9.0,291.0,331.0,3.0,249.6
13,Terrell Owens,SFO,WR,25.0,16.0,10.0,0.0,0.0,0.0,0.0,4.0,53.0,104.0,67.0,1097.0,16.37,1.0,1.0,0.0,0.0,0.0,53.0,1.0,4.0,1097.0,14.0,270.0
14,Barry Sanders,DET,RB,30.0,16.0,16.0,0.0,0.0,0.0,0.0,343.0,1491.0,57.0,37.0,289.0,7.81,3.0,2.0,0.0,0.0,0.0,1491.0,4.0,343.0,289.0,0.0,235.0
15,Eddie George,TEN,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,348.0,1294.0,49.0,37.0,310.0,8.38,7.0,1.0,0.0,0.0,0.0,1294.0,5.0,348.0,310.0,1.0,231.4
16,Brett Favre,GNB,QB,29.0,16.0,16.0,347.0,551.0,4212.0,23.0,40.0,133.0,0.0,0.0,0.0,0.0,8.0,2.0,4212.0,31.0,551.0,133.0,1.0,40.0,0.0,0.0,261.78000000000003
17,Shannon Sharpe,DEN,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,107.0,64.0,768.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,768.0,10.0,200.8
18,Robert Smith,MIN,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,249.0,1187.0,35.0,28.0,291.0,10.39,1.0,1.0,0.0,0.0,0.0,1187.0,6.0,249.0,291.0,2.0,221.8
19,Eric Moulds,BUF,WR,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,116.0,67.0,1368.0,20.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1368.0,9.0,257.8
20,Keyshawn Johnson,NYJ,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,60.0,149.0,83.0,1131.0,13.63,0.0,0.0,0.0,0.0,0.0,60.0,1.0,2.0,1131.0,10.0,268.1
21,Duce Staley,PHI,RB,23.0,16.0,13.0,0.0,0.0,0.0,0.0,258.0,1065.0,70.0,57.0,432.0,7.58,2.0,0.0,0.0,0.0,0.0,1065.0,5.0,258.0,432.0,1.0,242.7
