,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Eric Dickerson,RAM,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,390.0,1808.0,51.0,404.0,7.92,13.0,0.0,0.0,0.0,0.0,1808.0,18.0,390.0,404.0,2.0,366.20000000000005
1,William Andrews,ATL,RB,28.0,16.0,16.0,0.0,1.0,0.0,0.0,331.0,1567.0,59.0,609.0,10.32,6.0,0.0,0.0,0.0,1.0,1567.0,7.0,331.0,609.0,4.0,330.6
2,John Riggins+,WAS,RB,34.0,15.0,15.0,0.0,1.0,0.0,0.0,375.0,1347.0,5.0,29.0,5.8,5.0,0.0,0.0,0.0,1.0,1347.0,24.0,375.0,29.0,0.0,276.6
3,Todd Christensen,RAI,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,1247.0,13.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1247.0,12.0,286.7
4,Mike Quick,PHI,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,1409.0,20.42,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,13.0,285.9
5,Roy Green,STL,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,4.0,49.0,78.0,1227.0,15.73,3.0,0.0,0.0,0.0,0.0,49.0,0.0,4.0,1227.0,14.0,283.59999999999997
6,Walter Payton,CHI,RB,29.0,16.0,16.0,3.0,6.0,95.0,2.0,314.0,1421.0,53.0,607.0,11.45,5.0,0.0,95.0,3.0,6.0,1421.0,6.0,314.0,607.0,2.0,305.6
7,Curt Warner,SEA,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,335.0,1449.0,42.0,325.0,7.74,6.0,0.0,0.0,0.0,0.0,1449.0,13.0,335.0,325.0,1.0,291.4
8,Joe Montana,SFO,QB,27.0,16.0,16.0,332.0,515.0,3910.0,12.0,61.0,284.0,0.0,0.0,0.0,3.0,0.0,3910.0,26.0,515.0,284.0,2.0,61.0,0.0,0.0,270.79999999999995
9,Kellen Winslow,SDG,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,88.0,1172.0,13.32,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,8.0,247.2
