,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Billy Sims,DET,RB,26.0,14.0,14.0,0.0,0.0,0.0,0.0,296.0,1437.0,28.0,451.0,16.11,9.0,0.0,0.0,0.0,0.0,1437.0,13.0,296.0,451.0,2.0,288.79999999999995
1,William Andrews,ATL,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,289.0,1301.0,81.0,735.0,9.07,12.0,0.0,0.0,0.0,0.0,1301.0,10.0,289.0,735.0,2.0,332.6
2,Chuck Muncie,SDG,RB,28.0,15.0,14.0,1.0,1.0,3.0,0.0,251.0,1144.0,43.0,362.0,8.42,9.0,0.0,3.0,1.0,1.0,1144.0,19.0,251.0,362.0,0.0,293.72
3,Alfred Jenkins,ATL,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1358.0,19.4,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1358.0,13.0,277.8
4,George Rogers,NOR,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,378.0,1674.0,16.0,126.0,7.88,13.0,0.0,0.0,0.0,0.0,1674.0,13.0,378.0,126.0,0.0,248.0
5,Wendell Tyler,RAM,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,260.0,1074.0,45.0,436.0,9.69,11.0,0.0,0.0,0.0,0.0,1074.0,12.0,260.0,436.0,5.0,276.0
6,Wilbert Montgomery,PHI,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,286.0,1402.0,49.0,521.0,10.63,6.0,0.0,0.0,0.0,0.0,1402.0,8.0,286.0,521.0,2.0,289.29999999999995
7,Steve Watson,DEN,WR,24.0,16.0,13.0,0.0,0.0,0.0,0.0,2.0,6.0,60.0,1244.0,20.73,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1244.0,13.0,263.0
8,Dan Fouts,SDG,QB,30.0,16.0,16.0,360.0,609.0,4802.0,17.0,22.0,56.0,0.0,0.0,0.0,9.0,0.0,4802.0,33.0,609.0,56.0,0.0,22.0,0.0,0.0,277.68000000000006
9,Kellen Winslow,SDG,TE,24.0,16.0,16.0,0.0,2.0,0.0,0.0,0.0,0.0,88.0,1075.0,12.22,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1075.0,10.0,251.5
10,Steve Largent,SEA,WR,27.0,16.0,16.0,0.0,1.0,0.0,0.0,6.0,47.0,75.0,1224.0,16.32,2.0,0.0,0.0,0.0,1.0,47.0,1.0,6.0,1224.0,9.0,258.1
11,Ken Anderson,CIN,QB,32.0,16.0,16.0,300.0,479.0,3754.0,10.0,46.0,320.0,0.0,0.0,0.0,5.0,0.0,3754.0,29.0,479.0,320.0,1.0,46.0,0.0,0.0,274.15999999999997
12,Pete Johnson,CIN,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,274.0,1077.0,46.0,320.0,6.96,4.0,0.0,0.0,0.0,0.0,1077.0,12.0,274.0,320.0,4.0,273.7
13,Joe Cribbs,BUF,RB,23.0,15.0,15.0,1.0,1.0,9.0,0.0,257.0,1097.0,40.0,603.0,15.08,12.0,0.0,9.0,1.0,1.0,1097.0,3.0,257.0,603.0,7.0,250.36
14,Tony Dorsett,DAL,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,342.0,1646.0,32.0,325.0,10.16,10.0,0.0,0.0,0.0,0.0,1646.0,4.0,342.0,325.0,2.0,245.10000000000002
15,Ottis Anderson,STL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,328.0,1376.0,51.0,387.0,7.59,13.0,0.0,0.0,0.0,0.0,1376.0,9.0,328.0,387.0,0.0,255.3
16,James Lofton,GNB,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,1294.0,18.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1294.0,8.0,248.4
17,Ted Brown,MIN,RB,24.0,16.0,16.0,0.0,1.0,0.0,1.0,274.0,1063.0,83.0,694.0,8.36,3.0,0.0,0.0,0.0,1.0,1063.0,6.0,274.0,694.0,2.0,298.7
18,Kevin House,TAM,WR,24.0,16.0,16.0,0.0,1.0,0.0,0.0,2.0,9.0,56.0,1176.0,21.0,2.0,0.0,0.0,0.0,1.0,9.0,0.0,2.0,1176.0,9.0,224.5
19,Joe Senser,MIN,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,2.0,79.0,1004.0,12.71,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1004.0,8.0,221.6
20,Earl Campbell,HOU,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,361.0,1376.0,36.0,156.0,4.33,10.0,0.0,0.0,0.0,0.0,1376.0,10.0,361.0,156.0,0.0,229.2
21,Charlie Joiner,SDG,WR,34.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,1188.0,16.97,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,7.0,226.8
22,Ozzie Newsome,CLE,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,20.0,69.0,1002.0,14.52,0.0,0.0,0.0,0.0,0.0,20.0,0.0,2.0,1002.0,6.0,207.2
23,Walter Payton,CHI,RB,27.0,16.0,16.0,0.0,2.0,0.0,0.0,339.0,1222.0,41.0,379.0,9.24,9.0,0.0,0.0,0.0,2.0,1222.0,6.0,339.0,379.0,2.0,231.10000000000002
24,Mike Pruitt,CLE,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,247.0,1103.0,63.0,442.0,7.02,5.0,0.0,0.0,0.0,0.0,1103.0,7.0,247.0,442.0,1.0,255.5
