,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Marshall Faulk,STL,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,253.0,1359.0,113.0,81.0,830.0,10.25,0.0,0.0,0.0,0.0,0.0,1359.0,18.0,253.0,830.0,8.0,455.9
1,Edgerrin James,IND,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,387.0,1709.0,87.0,63.0,594.0,9.43,5.0,4.0,0.0,0.0,0.0,1709.0,13.0,387.0,594.0,5.0,393.3
2,Daunte Culpepper,MIN,QB,23.0,16.0,16.0,297.0,474.0,3937.0,16.0,89.0,470.0,0.0,0.0,0.0,0.0,11.0,6.0,3937.0,33.0,474.0,470.0,7.0,89.0,0.0,0.0,334.48
3,Jeff Garcia,SFO,QB,30.0,16.0,16.0,355.0,561.0,4278.0,10.0,72.0,414.0,0.0,0.0,0.0,0.0,7.0,1.0,4278.0,31.0,561.0,414.0,4.0,72.0,0.0,0.0,338.52
4,Eddie George,TEN,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,403.0,1509.0,65.0,50.0,453.0,9.06,5.0,4.0,0.0,0.0,0.0,1509.0,14.0,403.0,453.0,2.0,334.2
5,Randy Moss,MIN,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,5.0,129.0,77.0,1437.0,18.66,2.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,1437.0,15.0,311.2
6,Tony Gonzalez,KAN,TE,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,93.0,1203.0,12.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1203.0,9.0,267.3
7,Terrell Owens,SFO,WR,27.0,14.0,13.0,0.0,0.0,0.0,0.0,3.0,11.0,146.0,97.0,1451.0,14.96,3.0,1.0,0.0,0.0,0.0,11.0,0.0,3.0,1451.0,13.0,319.20000000000005
8,Marvin Harrison,IND,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,102.0,1413.0,13.85,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1413.0,14.0,327.3
9,Rod Smith,DEN,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,6.0,99.0,173.0,100.0,1602.0,16.02,1.0,1.0,0.0,0.0,0.0,99.0,1.0,6.0,1602.0,8.0,322.09999999999997
10,Mike Anderson,DEN,RB,27.0,16.0,12.0,0.0,0.0,0.0,0.0,297.0,1487.0,32.0,23.0,169.0,7.35,4.0,4.0,0.0,0.0,0.0,1487.0,15.0,297.0,169.0,0.0,270.6
11,Rich Gannon,OAK,QB,35.0,16.0,16.0,284.0,473.0,3430.0,11.0,89.0,529.0,0.0,0.0,0.0,0.0,9.0,5.0,3430.0,28.0,473.0,529.0,4.0,89.0,0.0,0.0,294.09999999999997
12,Ahman Green,GNB,RB,23.0,16.0,11.0,0.0,1.0,0.0,0.0,263.0,1175.0,99.0,73.0,559.0,7.66,6.0,4.0,0.0,0.0,1.0,1175.0,10.0,263.0,559.0,3.0,316.4
13,Peyton Manning,IND,QB,24.0,16.0,16.0,357.0,571.0,4413.0,15.0,37.0,116.0,0.0,0.0,0.0,0.0,5.0,3.0,4413.0,33.0,571.0,116.0,1.0,37.0,0.0,0.0,290.12
14,Fred Taylor,JAX,RB,24.0,13.0,13.0,0.0,0.0,0.0,0.0,292.0,1399.0,53.0,36.0,240.0,6.67,4.0,2.0,0.0,0.0,0.0,1399.0,12.0,292.0,240.0,2.0,279.9
15,Robert Smith,MIN,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,295.0,1521.0,44.0,36.0,348.0,9.67,4.0,1.0,0.0,0.0,0.0,1521.0,7.0,295.0,348.0,3.0,280.9
16,Jamal Lewis,BAL,WR,21.0,16.0,13.0,0.0,0.0,0.0,0.0,309.0,1364.0,36.0,27.0,296.0,10.96,6.0,2.0,0.0,0.0,0.0,1364.0,6.0,309.0,296.0,0.0,225.0
17,Derrick Alexander,KAN,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,45.0,144.0,78.0,1391.0,17.83,0.0,0.0,0.0,0.0,0.0,45.0,0.0,3.0,1391.0,10.0,281.6
18,Donovan McNabb,PHI,QB,24.0,16.0,16.0,330.0,569.0,3365.0,13.0,86.0,629.0,4.0,2.0,5.0,2.5,7.0,4.0,3365.0,21.0,569.0,629.0,6.0,86.0,5.0,0.0,286.0
19,Isaac Bruce,STL,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,11.0,135.0,87.0,1471.0,16.91,1.0,1.0,0.0,0.0,0.0,11.0,0.0,1.0,1471.0,9.0,287.20000000000005
20,Curtis Martin,NYJ,RB,27.0,16.0,16.0,1.0,1.0,18.0,0.0,316.0,1204.0,96.0,70.0,508.0,7.26,2.0,2.0,18.0,1.0,1.0,1204.0,9.0,316.0,508.0,2.0,307.91999999999996
21,Torry Holt,STL,WR,24.0,16.0,15.0,0.0,0.0,0.0,0.0,2.0,7.0,139.0,82.0,1635.0,19.94,2.0,2.0,0.0,0.0,0.0,7.0,0.0,2.0,1635.0,6.0,278.2
22,Ricky Watters,SEA,RB,31.0,16.0,16.0,0.0,0.0,0.0,0.0,278.0,1242.0,92.0,63.0,613.0,9.73,5.0,2.0,0.0,0.0,0.0,1242.0,7.0,278.0,613.0,2.0,298.5
23,Charlie Garner,SFO,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,258.0,1142.0,94.0,68.0,647.0,9.51,4.0,3.0,0.0,0.0,0.0,1142.0,7.0,258.0,647.0,3.0,300.9
24,Lamar Smith,MIA,RB,30.0,15.0,15.0,0.0,1.0,0.0,0.0,309.0,1139.0,38.0,31.0,201.0,6.48,3.0,3.0,0.0,0.0,1.0,1139.0,14.0,309.0,201.0,2.0,255.0
25,Ed McCaffrey,DEN,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,149.0,101.0,1317.0,13.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1317.0,9.0,286.7
26,Stephen Davis,WAS,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,332.0,1318.0,49.0,33.0,313.0,9.48,4.0,4.0,0.0,0.0,0.0,1318.0,11.0,332.0,313.0,0.0,254.10000000000002
