,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Adrian Peterson,MIN,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,348.0,2097.0,51.0,40.0,217.0,5.43,4.0,2.0,0.0,0.0,0.0,2097.0,12.0,348.0,217.0,1.0,345.4
1,Doug Martin,TAM,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,319.0,1454.0,70.0,49.0,472.0,9.63,1.0,1.0,0.0,0.0,0.0,1454.0,11.0,319.0,472.0,1.0,311.6
2,Arian Foster,HOU,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,351.0,1424.0,58.0,40.0,217.0,5.43,3.0,2.0,0.0,0.0,0.0,1424.0,15.0,351.0,217.0,2.0,302.1
3,Marshawn Lynch,SEA,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,315.0,1590.0,30.0,23.0,196.0,8.52,5.0,2.0,0.0,0.0,0.0,1590.0,11.0,315.0,196.0,1.0,269.6
4,Alfred Morris,WAS,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,335.0,1613.0,16.0,11.0,77.0,7.0,4.0,3.0,0.0,0.0,0.0,1613.0,13.0,335.0,77.0,0.0,252.0
5,Calvin Johnson,DET,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,204.0,122.0,1964.0,16.1,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1964.0,5.0,342.4
6,Brandon Marshall,CHI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,-2.0,192.0,118.0,1508.0,12.78,2.0,0.0,0.0,0.0,0.0,-2.0,0.0,1.0,1508.0,11.0,334.6
7,Drew Brees,NOR,QB,33.0,16.0,16.0,422.0,670.0,5177.0,19.0,15.0,5.0,0.0,0.0,0.0,0.0,5.0,1.0,5177.0,43.0,670.0,5.0,1.0,15.0,0.0,0.0,345.58000000000004
8,Aaron Rodgers,GNB,QB,29.0,16.0,16.0,371.0,552.0,4295.0,8.0,54.0,259.0,1.0,1.0,-1.0,-1.0,5.0,4.0,4295.0,39.0,552.0,259.0,2.0,54.0,-1.0,0.0,342.59999999999997
9,Ray Rice,BAL,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,257.0,1143.0,83.0,61.0,478.0,7.84,1.0,0.0,0.0,0.0,0.0,1143.0,9.0,257.0,478.0,1.0,283.1
10,Tom Brady,NWE,QB,35.0,16.0,16.0,401.0,637.0,4827.0,8.0,23.0,32.0,0.0,0.0,0.0,0.0,2.0,0.0,4827.0,34.0,637.0,32.0,4.0,23.0,0.0,0.0,340.28000000000003
11,Dez Bryant,DAL,WR,24.0,16.0,14.0,0.0,0.0,0.0,0.0,2.0,-5.0,138.0,92.0,1382.0,15.02,5.0,2.0,0.0,0.0,0.0,-5.0,0.0,2.0,1382.0,12.0,297.7
12,A.J. Green,CIN,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,38.0,164.0,97.0,1350.0,13.92,2.0,1.0,0.0,0.0,0.0,38.0,0.0,4.0,1350.0,11.0,299.8
13,C.J. Spiller,BUF,RB,25.0,16.0,9.0,0.0,0.0,0.0,0.0,207.0,1244.0,57.0,43.0,459.0,10.67,3.0,3.0,0.0,0.0,0.0,1244.0,6.0,207.0,459.0,2.0,255.3
14,Demaryius Thomas,DEN,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,94.0,1434.0,15.26,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1434.0,10.0,291.4
15,Jamaal Charles,KAN,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,285.0,1509.0,49.0,35.0,236.0,6.74,5.0,3.0,0.0,0.0,0.0,1509.0,5.0,285.0,236.0,1.0,239.5
16,Trent Richardson,CLE,RB,22.0,15.0,15.0,0.0,0.0,0.0,0.0,267.0,950.0,70.0,51.0,367.0,7.2,3.0,0.0,0.0,0.0,0.0,950.0,11.0,267.0,367.0,1.0,254.7
17,Cam Newton,CAR,QB,23.0,16.0,16.0,280.0,485.0,3869.0,12.0,127.0,741.0,1.0,0.0,6.0,0.0,10.0,3.0,3869.0,19.0,485.0,741.0,8.0,127.0,6.0,0.0,323.46
18,Vincent Jackson,TAM,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,147.0,72.0,1384.0,19.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1384.0,8.0,258.4
19,Stevan Ridley,NWE,RB,23.0,16.0,12.0,0.0,0.0,0.0,0.0,290.0,1263.0,14.0,6.0,51.0,8.5,4.0,2.0,0.0,0.0,0.0,1263.0,12.0,290.0,51.0,0.0,205.4
20,Andre Johnson,HOU,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,162.0,112.0,1598.0,14.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1598.0,4.0,295.8
21,Robert Griffin,WAS,QB,22.0,15.0,15.0,258.0,393.0,3200.0,5.0,120.0,815.0,1.0,0.0,0.0,0.0,12.0,2.0,3200.0,20.0,393.0,815.0,7.0,120.0,0.0,0.0,317.5
22,Frank Gore,SFO,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,258.0,1214.0,36.0,28.0,234.0,8.36,3.0,1.0,0.0,0.0,0.0,1214.0,8.0,258.0,234.0,1.0,224.8
23,Eric Decker,DEN,WR,25.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,85.0,1064.0,12.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1064.0,13.0,269.4
24,Julio Jones,ATL,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,6.0,30.0,128.0,79.0,1198.0,15.16,0.0,0.0,0.0,0.0,0.0,30.0,0.0,6.0,1198.0,10.0,261.8
25,Peyton Manning,DEN,QB,36.0,16.0,16.0,400.0,583.0,4659.0,11.0,23.0,6.0,0.0,0.0,0.0,0.0,2.0,2.0,4659.0,37.0,583.0,6.0,0.0,23.0,0.0,0.0,308.96000000000004
26,Roddy White,ATL,WR,31.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,92.0,1351.0,14.68,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1351.0,7.0,269.1
27,Jimmy Graham,NOR,TE,26.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,135.0,85.0,982.0,11.55,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.0,9.0,237.2
28,Matt Ryan,ATL,QB,27.0,16.0,16.0,422.0,615.0,4719.0,14.0,34.0,141.0,0.0,0.0,0.0,0.0,3.0,2.0,4719.0,32.0,615.0,141.0,1.0,34.0,0.0,0.0,304.86
29,Wes Welker,NWE,WR,31.0,16.0,12.0,0.0,0.0,0.0,0.0,2.0,20.0,174.0,118.0,1354.0,11.47,3.0,1.0,0.0,0.0,0.0,20.0,0.0,2.0,1354.0,6.0,289.4
30,Marques Colston,NOR,WR,29.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,83.0,1154.0,13.9,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,10.0,254.39999999999998
31,Victor Cruz,NYG,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,86.0,1092.0,12.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1092.0,10.0,255.2
32,Rob Gronkowski,NWE,TE,23.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,79.0,55.0,790.0,14.36,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,790.0,11.0,198.0
33,Matt Forte,CHI,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,248.0,1094.0,59.0,44.0,340.0,7.73,2.0,1.0,0.0,0.0,0.0,1094.0,5.0,248.0,340.0,1.0,221.4
34,Michael Crabtree,SFO,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,8.0,127.0,85.0,1105.0,13.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,1.0,1105.0,9.0,250.3
35,Tony Gonzalez,ATL,TE,36.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,124.0,93.0,930.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,8.0,234.0
36,Chris Johnson,TEN,RB,27.0,16.0,15.0,0.0,0.0,0.0,0.0,276.0,1243.0,49.0,36.0,232.0,6.44,5.0,4.0,0.0,0.0,0.0,1243.0,6.0,276.0,232.0,0.0,211.5
37,Reggie Wayne,IND,WR,34.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0,-5.0,195.0,106.0,1355.0,12.78,1.0,1.0,0.0,0.0,0.0,-5.0,0.0,1.0,1355.0,5.0,269.0
