,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Christian McCaffrey,CAR,RB,23.0,16.0,16.0,0.0,2.0,0.0,0.0,287.0,1387.0,142.0,116.0,1005.0,8.66,1.0,0.0,0.0,0.0,2.0,1387.0,15.0,287.0,1005.0,4.0,469.2
1,Lamar Jackson,BAL,QB,22.0,15.0,15.0,265.0,401.0,3127.0,6.0,176.0,1206.0,0.0,0.0,0.0,0.0,9.0,2.0,3127.0,36.0,401.0,1206.0,7.0,176.0,0.0,0.0,415.67999999999995
2,Derrick Henry,TEN,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,303.0,1540.0,24.0,18.0,206.0,11.44,5.0,3.0,0.0,0.0,0.0,1540.0,16.0,303.0,206.0,2.0,294.6
3,Aaron Jones,GNB,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,236.0,1084.0,68.0,49.0,474.0,9.67,3.0,2.0,0.0,0.0,0.0,1084.0,16.0,236.0,474.0,3.0,314.8
4,Ezekiel Elliott,DAL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,301.0,1357.0,71.0,54.0,420.0,7.78,3.0,2.0,0.0,0.0,0.0,1357.0,12.0,301.0,420.0,2.0,311.7
5,Dalvin Cook,MIN,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,250.0,1135.0,63.0,53.0,519.0,9.79,4.0,2.0,0.0,0.0,0.0,1135.0,13.0,250.0,519.0,0.0,292.4
6,Michael Thomas,NOR,WR,26.0,16.0,15.0,0.0,0.0,0.0,0.0,1.0,-9.0,185.0,149.0,1725.0,11.58,1.0,0.0,0.0,0.0,0.0,-9.0,0.0,1.0,1725.0,9.0,374.6
7,Travis Kelce,KAN,TE,30.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,136.0,97.0,1229.0,12.67,1.0,1.0,0.0,0.0,0.0,4.0,1.0,1.0,1229.0,5.0,254.3
8,Nick Chubb,CLE,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,298.0,1494.0,49.0,36.0,278.0,7.72,3.0,3.0,0.0,0.0,0.0,1494.0,8.0,298.0,278.0,0.0,255.2
9,Austin Ekeler,LAC,RB,24.0,16.0,8.0,0.0,0.0,0.0,0.0,132.0,557.0,108.0,92.0,993.0,10.79,3.0,2.0,0.0,0.0,0.0,557.0,3.0,132.0,993.0,8.0,309.0
10,Mark Ingram,BAL,RB,30.0,15.0,15.0,0.0,0.0,0.0,0.0,202.0,1018.0,29.0,26.0,247.0,9.5,2.0,2.0,0.0,0.0,0.0,1018.0,10.0,202.0,247.0,5.0,238.5
