,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Marshall Faulk,STL,RB,28.0,14.0,14.0,0.0,1.0,0.0,0.0,260.0,1382.0,104.0,83.0,765.0,9.22,3.0,3.0,0.0,0.0,1.0,1382.0,12.0,260.0,765.0,9.0,417.7
1,Priest Holmes,KAN,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,327.0,1555.0,75.0,62.0,614.0,9.9,4.0,3.0,0.0,0.0,0.0,1555.0,8.0,327.0,614.0,2.0,332.9
2,Ahman Green,GNB,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,304.0,1387.0,82.0,62.0,594.0,9.58,5.0,4.0,0.0,0.0,0.0,1387.0,9.0,304.0,594.0,2.0,318.1
3,Shaun Alexander,SEA,RB,24.0,16.0,12.0,0.0,0.0,0.0,0.0,309.0,1318.0,59.0,44.0,343.0,7.8,4.0,4.0,0.0,0.0,0.0,1318.0,14.0,309.0,343.0,2.0,298.1
4,Marvin Harrison,IND,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,3.0,164.0,109.0,1524.0,13.98,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,1524.0,15.0,351.7
5,Curtis Martin,NYJ,RB,28.0,16.0,16.0,1.0,1.0,18.0,0.0,333.0,1513.0,63.0,53.0,320.0,6.04,2.0,2.0,18.0,1.0,1.0,1513.0,10.0,333.0,320.0,0.0,297.02
6,Terrell Owens,SFO,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,21.0,155.0,93.0,1412.0,15.18,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,1412.0,16.0,332.3
7,Corey Dillon,CIN,RB,27.0,16.0,16.0,0.0,1.0,0.0,1.0,340.0,1315.0,61.0,34.0,228.0,6.71,5.0,3.0,0.0,0.0,1.0,1315.0,10.0,340.0,228.0,3.0,258.3
8,Jeff Garcia,SFO,QB,31.0,16.0,16.0,316.0,504.0,3538.0,12.0,72.0,254.0,0.0,0.0,0.0,0.0,9.0,3.0,3538.0,32.0,504.0,254.0,5.0,72.0,0.0,0.0,294.91999999999996
9,Kurt Warner,STL,QB,30.0,16.0,16.0,375.0,546.0,4830.0,22.0,28.0,60.0,0.0,0.0,0.0,0.0,10.0,4.0,4830.0,36.0,546.0,60.0,0.0,28.0,0.0,0.0,291.2
10,LaDainian Tomlinson,SDG,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,339.0,1236.0,74.0,59.0,367.0,6.22,8.0,5.0,0.0,0.0,0.0,1236.0,10.0,339.0,367.0,0.0,269.3
11,Ricky Williams,NOR,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,313.0,1245.0,88.0,60.0,511.0,8.52,8.0,6.0,0.0,0.0,0.0,1245.0,6.0,313.0,511.0,1.0,265.6
