,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Randall Cunningham,PHI,QB,27.0,16.0,16.0,271.0,465.0,3466.0,13.0,118.0,942.0,0.0,0.0,0.0,9.0,0.0,3466.0,30.0,465.0,942.0,5.0,118.0,0.0,0.0,338.84
1,Warren Moon,HOU,QB,34.0,15.0,15.0,362.0,584.0,4689.0,13.0,55.0,215.0,0.0,0.0,0.0,18.0,0.0,4689.0,33.0,584.0,215.0,2.0,55.0,0.0,0.0,291.06
2,Barry Sanders,DET,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,255.0,1304.0,36.0,480.0,13.33,4.0,0.0,0.0,0.0,0.0,1304.0,13.0,255.0,480.0,3.0,302.4
3,Thurman Thomas,BUF,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,271.0,1297.0,49.0,532.0,10.86,6.0,0.0,0.0,0.0,0.0,1297.0,11.0,271.0,532.0,2.0,297.9
4,Jerry Rice,SFO,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,100.0,1502.0,15.02,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1502.0,13.0,326.2
5,Neal Anderson,CHI,RB,26.0,15.0,14.0,0.0,0.0,0.0,0.0,260.0,1078.0,42.0,484.0,11.52,2.0,0.0,0.0,0.0,0.0,1078.0,10.0,260.0,484.0,3.0,272.2
6,Joe Montana,SFO,QB,34.0,15.0,15.0,321.0,520.0,3944.0,16.0,40.0,162.0,0.0,0.0,0.0,4.0,0.0,3944.0,26.0,520.0,162.0,1.0,40.0,0.0,0.0,243.95999999999998
7,Andre Rison,ATL,WR,23.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,1208.0,14.73,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1208.0,10.0,258.8
8,Earnest Byner,WAS,RB,28.0,16.0,16.0,1.0,2.0,31.0,0.0,297.0,1219.0,31.0,279.0,9.0,2.0,0.0,31.0,1.0,2.0,1219.0,6.0,297.0,279.0,1.0,224.04000000000002
9,Derrick Fenner,SEA,RB,23.0,16.0,15.0,0.0,0.0,0.0,0.0,215.0,859.0,17.0,143.0,8.41,3.0,0.0,0.0,0.0,0.0,859.0,14.0,215.0,143.0,1.0,201.2
