,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Shaun Alexander,SEA,RB,28.0,16.0,16.0,0.0,0.0,0.0,0.0,370.0,1880.0,29.0,15.0,78.0,5.2,5.0,1.0,0.0,0.0,0.0,1880.0,27.0,370.0,78.0,1.0,376.8
1,Larry Johnson,KAN,RB,26.0,16.0,9.0,0.0,0.0,0.0,0.0,336.0,1750.0,49.0,33.0,343.0,10.39,5.0,4.0,0.0,0.0,0.0,1750.0,20.0,336.0,343.0,1.0,360.3
2,LaDainian Tomlinson,SDG,RB,26.0,16.0,16.0,3.0,4.0,47.0,0.0,339.0,1462.0,77.0,51.0,370.0,7.25,3.0,1.0,47.0,3.0,4.0,1462.0,18.0,339.0,370.0,2.0,366.08
3,Tiki Barber,NYG,RB,30.0,16.0,16.0,0.0,1.0,0.0,0.0,357.0,1860.0,70.0,54.0,530.0,9.81,1.0,1.0,0.0,0.0,1.0,1860.0,9.0,357.0,530.0,2.0,357.0
4,Edgerrin James,IND,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,360.0,1506.0,50.0,44.0,337.0,7.66,2.0,1.0,0.0,0.0,0.0,1506.0,13.0,360.0,337.0,1.0,310.3
5,Steve Smith,CAR,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,25.0,150.0,103.0,1563.0,15.17,2.0,1.0,0.0,0.0,0.0,25.0,1.0,4.0,1563.0,12.0,337.8
6,Clinton Portis,WAS,RB,24.0,16.0,16.0,1.0,2.0,17.0,0.0,352.0,1516.0,41.0,30.0,216.0,7.2,3.0,2.0,17.0,1.0,2.0,1516.0,11.0,352.0,216.0,0.0,269.88
7,Antonio Gates,SDG,TE,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,140.0,89.0,1101.0,12.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1101.0,10.0,259.1
8,Larry Fitzgerald,ARI,WR,22.0,16.0,16.0,0.0,0.0,0.0,0.0,8.0,41.0,165.0,103.0,1409.0,13.68,0.0,0.0,0.0,0.0,0.0,41.0,0.0,8.0,1409.0,10.0,308.0
9,Santana Moss,WAS,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,-3.0,134.0,84.0,1483.0,17.65,3.0,1.0,0.0,0.0,0.0,-3.0,0.0,3.0,1483.0,9.0,284.0
10,Chad Johnson,CIN,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,5.0,33.0,155.0,97.0,1432.0,14.76,1.0,0.0,0.0,0.0,0.0,33.0,0.0,5.0,1432.0,9.0,297.5
11,LaMont Jordan,OAK,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,272.0,1025.0,103.0,70.0,563.0,8.04,2.0,1.0,0.0,0.0,0.0,1025.0,9.0,272.0,563.0,2.0,292.8
12,Rudi Johnson,CIN,RB,26.0,16.0,14.0,0.0,0.0,0.0,0.0,337.0,1458.0,30.0,23.0,90.0,3.91,1.0,0.0,0.0,0.0,0.0,1458.0,12.0,337.0,90.0,0.0,249.8
13,Joey Galloway,TAM,WR,34.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,4.0,152.0,83.0,1287.0,15.51,0.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1287.0,10.0,272.09999999999997
14,Anquan Boldin,ARI,WR,25.0,14.0,14.0,0.0,1.0,0.0,0.0,12.0,45.0,171.0,102.0,1402.0,13.75,2.0,1.0,0.0,0.0,1.0,45.0,0.0,12.0,1402.0,7.0,286.7
15,Torry Holt,STL,WR,29.0,14.0,14.0,0.0,0.0,0.0,0.0,1.0,2.0,163.0,102.0,1331.0,13.05,2.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1331.0,9.0,289.3
16,Chris Chambers,MIA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,12.0,92.0,166.0,82.0,1118.0,13.63,5.0,2.0,0.0,0.0,0.0,92.0,0.0,12.0,1118.0,11.0,265.0
17,Marvin Harrison,IND,WR,33.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,134.0,82.0,1146.0,13.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1146.0,12.0,268.6
18,Jeremy Shockey,NYG,TE,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,121.0,65.0,891.0,13.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,7.0,196.1
19,Carson Palmer,CIN,QB,26.0,16.0,16.0,345.0,509.0,3836.0,12.0,34.0,41.0,0.0,0.0,0.0,0.0,5.0,2.0,3836.0,32.0,509.0,41.0,1.0,34.0,0.0,0.0,263.54
20,Thomas Jones,CHI,RB,27.0,15.0,15.0,0.0,0.0,0.0,0.0,314.0,1335.0,39.0,26.0,143.0,5.5,2.0,2.0,0.0,0.0,0.0,1335.0,9.0,314.0,143.0,0.0,223.8
21,Mike Anderson,DEN,0,32.0,15.0,15.0,0.0,0.0,0.0,0.0,239.0,1014.0,21.0,18.0,212.0,11.78,2.0,2.0,0.0,0.0,0.0,1014.0,12.0,239.0,212.0,1.0,214.60000000000002
22,Todd Heap,BAL,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,114.0,75.0,855.0,11.4,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,855.0,7.0,200.5
23,Steven Jackson,STL,RB,22.0,15.0,15.0,0.0,0.0,0.0,0.0,254.0,1046.0,55.0,43.0,320.0,7.44,3.0,3.0,0.0,0.0,0.0,1046.0,8.0,254.0,320.0,2.0,233.6
24,Hines Ward,PIT,WR,29.0,15.0,15.0,0.0,0.0,0.0,0.0,3.0,10.0,114.0,69.0,975.0,14.13,1.0,1.0,0.0,0.0,0.0,10.0,0.0,3.0,975.0,11.0,231.5
