,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Tom Brady,NWE,QB,30.0,16.0,16.0,398.0,578.0,4806.0,8.0,37.0,98.0,0.0,0.0,0.0,0.0,6.0,4.0,4806.0,50.0,578.0,98.0,2.0,37.0,0.0,0.0,390.04
1,LaDainian Tomlinson,SDG,RB,28.0,16.0,16.0,1.0,1.0,17.0,0.0,315.0,1474.0,86.0,60.0,475.0,7.92,0.0,0.0,17.0,1.0,1.0,1474.0,15.0,315.0,475.0,3.0,367.58000000000004
2,Randy Moss,NWE,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,98.0,1493.0,15.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1493.0,23.0,385.3
3,Brian Westbrook,PHI,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,278.0,1333.0,118.0,90.0,771.0,8.57,2.0,2.0,0.0,0.0,0.0,1333.0,7.0,278.0,771.0,5.0,368.4
4,Adrian Peterson,MIN,RB,22.0,14.0,9.0,0.0,0.0,0.0,0.0,238.0,1341.0,28.0,19.0,268.0,14.11,4.0,3.0,0.0,0.0,0.0,1341.0,12.0,238.0,268.0,1.0,251.89999999999998
5,Terrell Owens,DAL,WR,34.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,5.0,141.0,81.0,1355.0,16.73,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,1355.0,15.0,307.0
6,Braylon Edwards,CLE,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,154.0,80.0,1289.0,16.11,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1289.0,16.0,300.9
7,Clinton Portis,WAS,RB,26.0,16.0,16.0,1.0,1.0,15.0,0.0,325.0,1262.0,60.0,47.0,389.0,8.28,6.0,5.0,15.0,1.0,1.0,1262.0,11.0,325.0,389.0,0.0,272.7
8,Joseph Addai,IND,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,261.0,1072.0,48.0,41.0,364.0,8.88,0.0,0.0,0.0,0.0,0.0,1072.0,12.0,261.0,364.0,3.0,274.6
9,Reggie Wayne,IND,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,4.0,156.0,104.0,1510.0,14.52,3.0,3.0,0.0,0.0,0.0,4.0,0.0,1.0,1510.0,10.0,309.4
10,Jamal Lewis,CLE,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,298.0,1304.0,39.0,30.0,248.0,8.27,4.0,2.0,0.0,0.0,0.0,1304.0,9.0,298.0,248.0,2.0,247.2
11,Tony Romo,DAL,QB,27.0,16.0,16.0,335.0,520.0,4211.0,19.0,31.0,129.0,0.0,0.0,0.0,0.0,10.0,2.0,4211.0,36.0,520.0,129.0,2.0,31.0,0.0,0.0,295.34
12,Larry Fitzgerald,ARI,WR,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,167.0,100.0,1409.0,14.09,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1409.0,10.0,294.9
13,Jason Witten,DAL,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,96.0,1145.0,11.93,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1145.0,7.0,250.5
14,Chad Johnson,CIN,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,6.0,47.0,161.0,93.0,1440.0,15.48,2.0,1.0,0.0,0.0,0.0,47.0,0.0,6.0,1440.0,8.0,287.7
15,Antonio Gates,SDG,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,75.0,984.0,13.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,984.0,9.0,227.4
16,Tony Gonzalez,KAN,TE,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,153.0,99.0,1172.0,11.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.0,5.0,246.2
17,T.J. Houshmandzadeh,CIN,WR,30.0,16.0,15.0,0.0,0.0,0.0,0.0,5.0,14.0,169.0,112.0,1143.0,10.21,2.0,1.0,0.0,0.0,0.0,14.0,0.0,5.0,1143.0,12.0,297.7
18,Marion Barber,DAL,RB,24.0,16.0,0.0,0.0,0.0,0.0,0.0,204.0,975.0,54.0,44.0,282.0,6.41,3.0,0.0,0.0,0.0,0.0,975.0,10.0,204.0,282.0,2.0,241.7
19,Kellen Winslow,CLE,TE,24.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,148.0,82.0,1106.0,13.49,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1106.0,5.0,220.6
20,Marques Colston,NOR,WR,24.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,143.0,98.0,1202.0,12.27,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1202.0,11.0,282.2
21,Peyton Manning,IND,QB,31.0,16.0,16.0,337.0,515.0,4040.0,14.0,20.0,-5.0,0.0,0.0,0.0,0.0,6.0,1.0,4040.0,31.0,515.0,-5.0,3.0,20.0,0.0,0.0,273.1
22,Willis McGahee,BAL,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,294.0,1207.0,49.0,43.0,231.0,5.37,4.0,3.0,0.0,0.0,0.0,1207.0,7.0,294.0,231.0,1.0,228.8
23,Brandon Marshall,DEN,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,5.0,57.0,170.0,102.0,1325.0,12.99,3.0,1.0,0.0,0.0,0.0,57.0,0.0,5.0,1325.0,7.0,280.2
24,Frank Gore,SFO,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,260.0,1102.0,69.0,53.0,436.0,8.23,4.0,3.0,0.0,0.0,0.0,1102.0,5.0,260.0,436.0,1.0,236.8
25,Plaxico Burress,NYG,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,141.0,70.0,1025.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1025.0,12.0,244.5
26,Dallas Clark,IND,TE,28.0,15.0,15.0,0.0,0.0,0.0,0.0,2.0,29.0,101.0,58.0,616.0,10.62,0.0,0.0,0.0,0.0,0.0,29.0,0.0,2.0,616.0,11.0,188.5
27,Edgerrin James,ARI,RB,29.0,16.0,16.0,0.0,0.0,0.0,0.0,324.0,1222.0,39.0,24.0,204.0,8.5,5.0,0.0,0.0,0.0,0.0,1222.0,7.0,324.0,204.0,0.0,208.6
28,Chris Cooley,WAS,TE,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,66.0,786.0,11.91,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,786.0,8.0,192.6
29,Earnest Graham,TAM,RB,27.0,15.0,10.0,0.0,0.0,0.0,0.0,222.0,898.0,69.0,49.0,324.0,6.61,1.0,1.0,0.0,0.0,0.0,898.0,10.0,222.0,324.0,0.0,229.2
30,Ben Roethlisberger,PIT,QB,25.0,15.0,15.0,264.0,404.0,3154.0,11.0,35.0,204.0,0.0,0.0,0.0,0.0,9.0,3.0,3154.0,32.0,404.0,204.0,2.0,35.0,0.0,0.0,258.56
31,Drew Brees,NOR,QB,28.0,16.0,16.0,440.0,652.0,4423.0,18.0,23.0,52.0,2.0,2.0,10.0,5.0,9.0,4.0,4423.0,28.0,652.0,52.0,1.0,23.0,10.0,0.0,259.11999999999995
