,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Emmitt Smith,DAL,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,377.0,1773.0,78.0,62.0,375.0,6.05,7.0,6.0,0.0,0.0,0.0,1773.0,25.0,377.0,375.0,0.0,414.8
1,Jerry Rice,SFO,WR,33.0,16.0,16.0,1.0,1.0,41.0,0.0,5.0,36.0,176.0,122.0,1848.0,15.15,3.0,3.0,41.0,1.0,1.0,36.0,1.0,5.0,1848.0,15.0,406.04
2,Isaac Bruce,STL,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,17.0,199.0,119.0,1781.0,14.97,2.0,1.0,0.0,0.0,0.0,17.0,0.0,3.0,1781.0,13.0,374.8
3,Herman Moore,DET,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,206.0,123.0,1686.0,13.71,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1686.0,14.0,371.6
4,Brett Favre,GNB,QB,26.0,16.0,16.0,359.0,570.0,4413.0,13.0,39.0,181.0,0.0,0.0,0.0,0.0,8.0,4.0,4413.0,38.0,570.0,181.0,3.0,39.0,0.0,0.0,330.62
5,Curtis Martin,NWE,RB,22.0,16.0,15.0,0.0,0.0,0.0,0.0,368.0,1487.0,50.0,30.0,261.0,8.7,5.0,3.0,0.0,0.0,0.0,1487.0,14.0,368.0,261.0,1.0,288.79999999999995
6,Barry Sanders,DET,RB,27.0,16.0,16.0,1.0,2.0,11.0,0.0,314.0,1500.0,70.0,48.0,398.0,8.29,3.0,3.0,11.0,0.0,2.0,1500.0,11.0,314.0,398.0,1.0,304.24
7,Cris Carter,MIN,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,0.0,197.0,122.0,1371.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1371.0,17.0,361.1
8,Chris Warren,SEA,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,310.0,1346.0,50.0,35.0,247.0,7.06,5.0,3.0,0.0,0.0,0.0,1346.0,15.0,310.0,247.0,1.0,284.3
9,Robert Brooks,GNB,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,4.0,21.0,167.0,102.0,1497.0,14.68,0.0,0.0,0.0,0.0,0.0,21.0,0.0,4.0,1497.0,13.0,331.8
10,Scott Mitchell,DET,QB,27.0,16.0,16.0,346.0,583.0,4338.0,12.0,36.0,104.0,0.0,0.0,0.0,0.0,8.0,3.0,4338.0,32.0,583.0,104.0,4.0,36.0,0.0,0.0,305.91999999999996
11,Carl Pickens,CIN,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,1.0,6.0,168.0,99.0,1234.0,12.46,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,1234.0,17.0,325.0
