,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Walter Payton,CHI,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,339.0,1852.0,27.0,269.0,9.96,11.0,0.0,0.0,0.0,0.0,1852.0,14.0,339.0,269.0,2.0,313.1
1,Lydell Mitchell,BAL,RB,28.0,14.0,14.0,0.0,0.0,0.0,0.0,301.0,1159.0,71.0,620.0,8.73,5.0,0.0,0.0,0.0,0.0,1159.0,3.0,301.0,620.0,4.0,280.9
2,Nat Moore,MIA,WR,26.0,14.0,14.0,0.0,0.0,0.0,0.0,14.0,89.0,52.0,765.0,14.71,0.0,0.0,0.0,0.0,0.0,89.0,1.0,14.0,765.0,12.0,215.4
3,Tony Dorsett,DAL,RB,23.0,14.0,4.0,1.0,1.0,34.0,0.0,208.0,1007.0,29.0,273.0,9.41,7.0,0.0,34.0,0.0,1.0,1007.0,12.0,208.0,273.0,1.0,222.36
4,Lawrence McCutcheon,RAM,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,294.0,1238.0,25.0,274.0,10.96,6.0,0.0,0.0,0.0,0.0,1238.0,7.0,294.0,274.0,2.0,218.2
5,Chuck Foreman,MIN,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,270.0,1112.0,38.0,308.0,8.11,9.0,0.0,0.0,0.0,0.0,1112.0,6.0,270.0,308.0,3.0,216.0
6,Roger Staubach,DAL,QB,35.0,14.0,14.0,210.0,361.0,2620.0,9.0,51.0,171.0,0.0,0.0,0.0,8.0,0.0,2620.0,18.0,361.0,171.0,3.0,51.0,0.0,0.0,177.9
7,Greg Pruitt,CLE,RB,26.0,14.0,14.0,4.0,9.0,28.0,0.0,236.0,1086.0,37.0,471.0,12.73,8.0,0.0,28.0,3.0,9.0,1086.0,3.0,236.0,471.0,1.0,213.82
8,Franco Harris,PIT,RB,27.0,14.0,14.0,0.0,0.0,0.0,0.0,300.0,1162.0,11.0,62.0,5.64,10.0,0.0,0.0,0.0,0.0,1162.0,11.0,300.0,62.0,0.0,179.4
9,Mark van Eeghen,OAK,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,324.0,1273.0,15.0,135.0,9.0,3.0,0.0,0.0,0.0,0.0,1273.0,7.0,324.0,135.0,0.0,191.8
10,Bert Jones,BAL,QB,26.0,14.0,14.0,224.0,393.0,2686.0,11.0,28.0,146.0,0.0,0.0,0.0,2.0,0.0,2686.0,17.0,393.0,146.0,2.0,28.0,0.0,0.0,176.04
