,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Tgt,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Jerry Rice,SFO,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,3.0,69.0,153.0,98.0,1503.0,15.34,3.0,0.0,0.0,0.0,0.0,69.0,1.0,3.0,1503.0,15.0,345.2
1,Emmitt Smith,DAL,RB,24.0,14.0,13.0,0.0,0.0,0.0,0.0,283.0,1486.0,65.0,57.0,414.0,7.26,4.0,0.0,0.0,0.0,0.0,1486.0,9.0,283.0,414.0,1.0,299.0
2,Steve Young,SFO,QB,32.0,16.0,16.0,314.0,462.0,4023.0,16.0,69.0,407.0,2.0,2.0,2.0,1.0,8.0,0.0,4023.0,29.0,462.0,407.0,2.0,69.0,2.0,0.0,283.81999999999994
3,Andre Rison,ATL,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,165.0,86.0,1242.0,14.44,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1242.0,15.0,296.2
4,Shannon Sharpe,DEN,TE,25.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,110.0,81.0,995.0,12.28,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,995.0,9.0,232.5
5,Jerome Bettis,RAM,RB,21.0,16.0,12.0,0.0,0.0,0.0,0.0,294.0,1429.0,34.0,26.0,244.0,9.38,4.0,0.0,0.0,0.0,0.0,1429.0,7.0,294.0,244.0,0.0,227.3
6,Thurman Thomas,BUF,RB,27.0,16.0,16.0,0.0,1.0,0.0,0.0,355.0,1315.0,71.0,48.0,387.0,8.06,6.0,0.0,0.0,0.0,1.0,1315.0,6.0,355.0,387.0,0.0,242.2
7,Sterling Sharpe,GNB,WR,28.0,16.0,16.0,1.0,1.0,1.0,0.0,4.0,8.0,189.0,112.0,1274.0,11.38,1.0,0.0,1.0,0.0,1.0,8.0,0.0,4.0,1274.0,11.0,304.24
8,John Elway,DEN,QB,33.0,16.0,16.0,348.0,551.0,4030.0,10.0,44.0,153.0,0.0,0.0,0.0,0.0,8.0,0.0,4030.0,25.0,551.0,153.0,0.0,44.0,0.0,0.0,240.5
9,Ricky Watters,SFO,RB,24.0,13.0,13.0,0.0,0.0,0.0,0.0,208.0,950.0,45.0,31.0,326.0,10.52,5.0,0.0,0.0,0.0,0.0,950.0,10.0,208.0,326.0,1.0,214.6
10,Marcus Allen,KAN,RB,33.0,16.0,10.0,0.0,0.0,0.0,0.0,206.0,764.0,46.0,34.0,238.0,7.0,4.0,0.0,0.0,0.0,0.0,764.0,12.0,206.0,238.0,3.0,216.2
11,Michael Irvin,DAL,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,2.0,6.0,143.0,88.0,1330.0,15.11,0.0,0.0,0.0,0.0,0.0,6.0,0.0,2.0,1330.0,7.0,263.6
