,Player,Tm,Pos,Age,G,GS,Cmp,Att,Yds,Int,Att,Yds,Rec,Yds,Y/R,Fumbles,FumblesLost,PassingYds,PassingTD,PassingAtt,RushingYds,RushingTD,RushingAtt,ReceivingYds,ReceivingTD,FantasyPoints
0,Jerry Rice,SFO,WR,25.0,12.0,12.0,0.0,0.0,0.0,0.0,8.0,51.0,65.0,1078.0,16.58,2.0,0.0,0.0,0.0,0.0,51.0,1.0,8.0,1078.0,22.0,311.90000000000003
1,Charles White,RAM,RB,29.0,15.0,12.0,0.0,0.0,0.0,0.0,324.0,1374.0,23.0,121.0,5.26,8.0,0.0,0.0,0.0,0.0,1374.0,11.0,324.0,121.0,0.0,222.5
2,Randall Cunningham,PHI,QB,24.0,12.0,12.0,223.0,406.0,2786.0,12.0,76.0,505.0,1.0,-3.0,-3.0,12.0,0.0,2786.0,23.0,406.0,505.0,3.0,76.0,-3.0,0.0,224.64
3,Herschel Walker,DAL,RB,25.0,12.0,11.0,0.0,0.0,0.0,0.0,209.0,891.0,60.0,715.0,11.92,4.0,0.0,0.0,0.0,0.0,891.0,7.0,209.0,715.0,1.0,260.6
4,Joe Montana,SFO,QB,31.0,13.0,11.0,266.0,398.0,3054.0,13.0,35.0,141.0,0.0,0.0,0.0,3.0,0.0,3054.0,31.0,398.0,141.0,1.0,35.0,0.0,0.0,234.26
5,Mark Bavaro,NYG,TE,24.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,867.0,15.76,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,867.0,8.0,185.7
6,John Elway,DEN,QB,27.0,12.0,12.0,224.0,410.0,3198.0,12.0,66.0,304.0,0.0,0.0,0.0,2.0,0.0,3198.0,19.0,410.0,304.0,4.0,66.0,0.0,0.0,230.32000000000002
7,J.T. Smith,STL,WR,32.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,1117.0,12.27,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1117.0,8.0,246.7
8,Neil Lomax,STL,QB,28.0,12.0,12.0,275.0,463.0,3387.0,12.0,29.0,107.0,0.0,0.0,0.0,7.0,0.0,3387.0,24.0,463.0,107.0,0.0,29.0,0.0,0.0,204.17999999999998
9,Eric Dickerson,2TM,RB,27.0,12.0,10.0,0.0,0.0,0.0,0.0,283.0,1288.0,18.0,171.0,9.5,7.0,0.0,0.0,0.0,0.0,1288.0,6.0,283.0,171.0,0.0,185.9
